run_id,task_id,category,success_mode,method,model,fault_intensity,seed,recovery_budget,fault_scheduled,fault_target_tool,fault_type,fault_injected,expected_decision,predicted_decision,decision_match,numeric_answer,expected_numeric_answer,numeric_ok,tools_ok,missing_required_tools,extra_tools_used,tool_efficiency,task_success,silent_failure,safe_degradation,detected_failure,recovery_success,llm_judge_outcome,judge_confidence,grounded_in_tool_evidence,uses_stale_or_contradictory_evidence,model_calls,tool_calls,verifier_calls,judge_calls,recovery_steps,input_tokens,output_tokens,estimated_cost_usd,eval_reason,final_answer,tool_path,tools_used
live_retrieval_005__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_005,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3394,328,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is supported by current tool evidence: O-1005 is delayed 80 hours, customer C-005 is inactive, and the current replacement policy requires an active account and excludes inactive accounts. Required tools were used and there is no stale, contradictory, or missing evidence.","Expedited replacement is not allowed for order O-1005 because the customer account is inactive, and inactive accounts are not eligible under the current replacement policy.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_005__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_005,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3436,324,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is supported by current evidence from all required tools: order O-1005 is delayed 80 hours, customer C-005 is inactive, and the replacement policy explicitly requires an active account and excludes inactive accounts.","Expedited replacement is not allowed for order O-1005 because the customer account is inactive, and inactive accounts are not eligible under the current replacement policy.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_workflow_001__retry_only__lambda_0.3__seed_11__budget_2,live_workflow_001,multi_step_api_workflow,decision,retry_only,gpt-5.4-mini,0.3,11,2,True,order_lookup,unavailable_tool,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,3956,393,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'allowed' and is directly supported by current tool evidence from all required tools. order_lookup was faulted but successfully recovered with current results; inventory_lookup shows SKU-A in stock, shipping_estimator says priority_allowed true for standard_zone and quantity 2, and policy_lookup states priority shipping is allowed when the item is in stock, quantity is available, and the destination is not restricted. No stale or contradictory evidence is used.",Priority shipping is allowed for order O-2001.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_001__full_replanning__lambda_0.3__seed_11__budget_2,live_workflow_001,multi_step_api_workflow,decision,full_replanning,gpt-5.4-mini,0.3,11,2,True,order_lookup,unavailable_tool,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,4014,415,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is fully supported by current recovered tool evidence: order_lookup recovered current data for O-2001 showing SKU-A, destination standard_zone, priority request, quantity 2; inventory_lookup shows SKU-A in stock with sufficient units; shipping_estimator returns priority_allowed true for standard_zone; policy_lookup states priority shipping is allowed when in stock, quantity available, and destination is not restricted. The injected order_lookup failure was detected and recovered, so no stale or contradictory evidence is relied on.",Priority shipping is allowed for order O-2001.,order_lookup|multi_tool_use.parallel|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_001__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_001,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,order_lookup,unavailable_tool,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,4070,408,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (allowed) and is supported by current recovered tool evidence: order_lookup shows SKU-A, destination standard_zone, requested shipping priority, and quantity 2; inventory_lookup shows SKU-A is in stock; shipping_estimator says priority_allowed true for standard_zone; policy_lookup states priority shipping is allowed when in stock, quantity is available, and destination is not restricted. The injected order_lookup failure was detected and recovered, so the evidence used is current and not stale or contradictory.",Priority shipping is allowed for order O-2001.,order_lookup|multi_tool_use.parallel|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_002__retry_only__lambda_0.3__seed_11__budget_2,live_workflow_002,multi_step_api_workflow,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3640,355,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (not_allowed), uses all required tools, and is directly supported by current tool evidence: order destination is restricted_zone, shipping_estimator says priority_allowed=false, and policy_lookup states priority shipping is only allowed when destination is not a restricted zone.",Priority shipping is not allowed for order O-2002 because the destination is a restricted zone.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_002__full_replanning__lambda_0.3__seed_11__budget_2,live_workflow_002,multi_step_api_workflow,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3643,360,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is fully supported by current tool evidence. All required tools were used, the order destination is restricted_zone, shipping_estimator explicitly says priority_allowed=false because the destination is restricted, and policy_lookup states priority shipping is allowed only when the destination is not a restricted zone.",Priority shipping is not allowed for order O-2002 because the destination is a restricted zone.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_002__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_002,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3719,383,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current, consistent tool evidence: order_lookup shows destination restricted_zone, shipping_estimator says priority_allowed false because destination is restricted, and policy_lookup confirms priority shipping is disallowed for restricted zones. All required tools were used and there is no stale or contradictory evidence.",Priority shipping is not allowed for order O-2002 because the destination is a restricted zone.,order_lookup|multi_tool_use.parallel|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_003__retry_only__lambda_0.3__seed_11__budget_2,live_workflow_003,multi_step_api_workflow,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3670,383,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed'), uses all required tools, and is directly supported by current tool evidence: order O-2003 requests standard shipping for SKU-C quantity 3; inventory shows 4 units available; shipping_estimator explicitly says standard shipping is available; policy_lookup does not block standard shipping. No stale, contradictory, or unrecovered evidence is present.",Yes. The requested standard shipping path is available for order O-2003.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_003__full_replanning__lambda_0.3__seed_11__budget_2,live_workflow_003,multi_step_api_workflow,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3673,391,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (allowed) and is fully grounded in current tool evidence. Required tools were all used, and the evidence supports that order O-2003 is for SKU-C, quantity 3, with 4 units in stock, and shipping_estimator explicitly says standard shipping is available. policy_lookup is current and consistent with the decision. No stale, contradictory, or unrecovered evidence is present.",Yes. The requested standard shipping path is available for order O-2003.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_003__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_003,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,4,0,1,0,3721,414,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is supported by current, unrecovered evidence from all required tools. Order lookup shows SKU-C, quantity 3, destination standard_zone, requested shipping standard; inventory shows 4 available units; shipping estimator says standard shipping available; policy confirms standard shipping is required/appropriate given the conditions. No stale, contradictory, or faulty evidence is used.",Yes. The requested standard shipping path is available for order O-2003.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_004__retry_only__lambda_0.3__seed_11__budget_2,live_workflow_004,multi_step_api_workflow,decision,retry_only,gpt-5.4-mini,0.3,11,2,True,shipping_estimator,wrong_but_plausible,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,False,correct,0.97,True,False,3,4,0,1,0,3717,439,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final decision matches the expected decision (not_allowed) and is supported by current tool evidence: order_lookup shows SKU-D, quantity 5, priority shipping requested; inventory_lookup shows SKU-D is out of stock with 0 units; policy_lookup states priority shipping is only allowed when the item is in stock and the requested quantity is available. The final answer correctly relies on these valid sources. It also mentions the faulty shipping_estimator result, but does not use it to justify the decision, so there is no stale or contradictory evidence driving the conclusion.","Priority shipping is not allowed for order O-2004 because the item is out of stock and the requested quantity is unavailable, which violates the shipping policy requirements.",order_lookup|multi_tool_use.parallel,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_004__full_replanning__lambda_0.3__seed_11__budget_2,live_workflow_004,multi_step_api_workflow,decision,full_replanning,gpt-5.4-mini,0.3,11,2,True,shipping_estimator,wrong_but_plausible,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.98,True,False,3,4,0,1,1,4063,420,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is grounded in current recovered tool evidence: order_lookup shows O-2004 requests priority shipping for SKU-D qty 5, inventory_lookup shows SKU-D is out of stock with 0 units, shipping_estimator was faulted but recovered to priority_allowed=false due to insufficient inventory, and policy_lookup states priority shipping requires in-stock inventory. No stale or contradictory evidence is used.",Priority shipping is not allowed for order O-2004 because the SKU is out of stock and the shipping estimator says priority is false due to insufficient inventory.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_004__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_004,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,shipping_estimator,wrong_but_plausible,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,4058,396,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is supported by current tool evidence: order_lookup shows SKU-D, quantity 5, priority request; inventory_lookup shows SKU-D is not in stock with 0 units; policy_lookup states priority shipping requires in-stock availability; shipping_estimator was faulted but recovered to a correct result indicating priority_allowed false due to insufficient inventory. The answer is therefore grounded and not based on stale or contradictory evidence.",Priority shipping is not allowed for order O-2004.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_005__retry_only__lambda_0.3__seed_11__budget_2,live_workflow_005,multi_step_api_workflow,decision,retry_only,gpt-5.4-mini,0.3,11,2,True,policy_lookup,malformed_output,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,False,correct,0.97,True,False,4,5,0,1,0,4809,419,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current tool evidence: order_lookup shows SKU-E, destination standard_zone, quantity 1; inventory_lookup shows SKU-E in stock with 8 units; shipping_estimator says priority_allowed true for standard_zone; and the recovered/current policy_lookup text states priority shipping is allowed when the item is in stock, quantity is available, and destination is not restricted. The malformed policy output was detected and not relied upon as evidence.",Priority shipping is allowed for order O-2005.,order_lookup|multi_tool_use.parallel|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup|policy_lookup
live_workflow_005__full_replanning__lambda_0.3__seed_11__budget_2,live_workflow_005,multi_step_api_workflow,decision,full_replanning,gpt-5.4-mini,0.3,11,2,True,policy_lookup,malformed_output,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,3923,381,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is grounded in current/recovered tool evidence. All required tools were used. The policy_lookup tool had a malformed-output fault, but it was detected and recovered with a current recovered result, which supports the decision that priority shipping is allowed because SKU-E is in stock, quantity 1 is available, and destination is standard_zone.",Priority shipping is allowed for order O-2005.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_workflow_005__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_005,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,policy_lookup,malformed_output,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.98,True,False,3,4,0,1,1,4010,410,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'allowed' and is supported by current tool evidence: the order is for SKU-E, quantity 1, destination standard_zone; inventory shows SKU-E is in stock with 8 units; shipping_estimator returns priority_allowed true; policy_lookup was faulted but recovered successfully to a current policy consistent with allowance. No stale or contradictory evidence is used, and all required tools were used.",Priority shipping is allowed for order O-2005.,order_lookup|multi_tool_use.parallel|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup
live_calc_001__retry_only__lambda_0.3__seed_11__budget_2,live_calc_001,calculation_verification,numeric,retry_only,gpt-5.4-mini,0.3,11,2,True,calculator,stale_context,True,numeric_value,numeric_value,True,64.917525,64.92,True,True,,,1.0,True,False,False,True,False,correct,0.97,True,False,3,2,0,1,0,2905,279,0.0,"rule=(mode=numeric; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final numeric answer matches the current calculator evidence and the expected value to acceptable precision. Although the tool log includes an injected stale result, the answer is also supported by a separate current calculator call with the same value, so it is grounded in valid evidence and not stale-dependent. Decision is aligned with the required numeric_value mode.",64.917525,calculator|calculator,calculator|calculator
live_calc_001__full_replanning__lambda_0.3__seed_11__budget_2,live_calc_001,calculation_verification,numeric,full_replanning,gpt-5.4-mini,0.3,11,2,True,calculator,stale_context,True,numeric_value,numeric_value,True,64.917525,64.92,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,2,1,0,1,1,2227,259,0.0,"rule=(mode=numeric; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and uses the recovered current calculator result, not the injected stale context. The numeric value 64.917525 is grounded in the current recovered tool evidence and is consistent with the computation 3*19.99*1.0825. Although the user-facing answer is not rounded to 2 decimals, the benchmark's expected numeric answer is met within the provided rule result.",The total cost is 64.917525.,calculator,calculator
